S.No,Topic,Sub-Topic,Problem Name,Difficulty,Source,LeetCode/GFG Link,Notes
1,Basics,Pattern Problems,Print 1 to N,Easy,Striver,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,Recursion intro
2,Basics,Pattern Problems,Print Name N Times,Easy,Striver,https://www.geeksforgeeks.org/problems/print-your-name-n-times/1,Recursion intro
3,Basics,Pattern Problems,Print GFG n times,Easy,Striver,https://www.geeksforgeeks.org/problems/print-gfg-n-times/1,Recursion intro
4,Basics,Pattern Problems,Print N to 1,Easy,Striver,https://www.geeksforgeeks.org/problems/print-n-to-1-without-loop/1,Recursion intro
5,Basics,Pattern Problems,Sum of First N Numbers,Easy,Striver,https://leetcode.com/problems/sum-of-first-n-naturals/,Recursion
6,Basics,Pattern Problems,Factorial of N,Easy,Striver,https://www.geeksforgeeks.org/problems/factorial-of-a-number/1,Recursion
7,Basics,Pattern Problems,Reverse Array,Easy,Striver,https://leetcode.com/problems/reverse-string/,Recursion
8,Basics,Pattern Problems,Check Palindrome String,Easy,Striver,https://leetcode.com/problems/valid-palindrome/,Recursion
9,Basics,Pattern Problems,Fibonacci Number,Easy,Striver,https://leetcode.com/problems/fibonacci-number/,Recursion
10,Basics,Math & Hashing,Count Digits,Easy,Striver,https://www.geeksforgeeks.org/problems/count-digits5716/1,
11,Basics,Math & Hashing,Reverse Integer,Easy,Striver,https://leetcode.com/problems/reverse-integer/,
12,Basics,Math & Hashing,Check Palindrome Number,Easy,Striver,https://leetcode.com/problems/palindrome-number/,
13,Basics,Math & Hashing,GCD/HCF of Two Numbers,Easy,Striver,https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,
14,Basics,Math & Hashing,Armstrong Number,Easy,Striver,https://www.geeksforgeeks.org/problems/armstrong-numbers2727/1,
15,Basics,Math & Hashing,Print All Divisors,Easy,Striver,https://www.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n/0,
16,Basics,Math & Hashing,Check Prime,Easy,Striver,https://www.geeksforgeeks.org/problems/prime-number2314/1,
17,Basics,Math & Hashing,Sieve of Eratosthenes,Easy,Added-Math,https://leetcode.com/problems/count-primes/,Gap from Fraz/Babbar
18,Basics,Math & Hashing,Power of Two,Easy,Added-Math,https://leetcode.com/problems/power-of-two/,Gap from NeetCode
19,Basics,Math & Hashing,Excel Sheet Column Number,Easy,Added-Math,https://leetcode.com/problems/excel-sheet-column-number/,Gap from Fraz
20,Basics,Math & Hashing,Happy Number,Easy,Added-Math,https://leetcode.com/problems/happy-number/,Gap from NeetCode
21,Basics,Math & Hashing,Add Digits,Easy,Added-Math,https://leetcode.com/problems/add-digits/,Gap from Fraz
22,Basics,Math & Hashing,Ugly Number,Easy,Added-Math,https://leetcode.com/problems/ugly-number/,Gap from Fraz
23,Basics,Math & Hashing,Sqrt(x),Easy,Added-Math,https://leetcode.com/problems/sqrtx/,Gap from Fraz
24,Basics,Math & Hashing,Pow(x n),Medium,Added-Math,https://leetcode.com/problems/powx-n/,Gap from Fraz
25,Basics,STL/Collections,Sort Colors (Dutch National Flag),Medium,Striver,https://leetcode.com/problems/sort-colors/,Intro to STL patterns
26,Basics,STL/Collections,Pair Sum in Array,Easy,Striver,https://www.geeksforgeeks.org/problems/pair-sum-in-array/0,
27,Basics,STL/Collections,Max and Min in Array,Easy,Striver,https://www.geeksforgeeks.org/problems/max-min/1,
28,Sorting,Sorting Algorithms,Bubble Sort,Easy,Striver,https://www.geeksforgeeks.org/problems/bubble-sort/1,
29,Sorting,Sorting Algorithms,Selection Sort,Easy,Striver,https://www.geeksforgeeks.org/problems/selection-sort/1,
30,Sorting,Sorting Algorithms,Insertion Sort,Easy,Striver,https://www.geeksforgeeks.org/problems/insertion-sort/1,
31,Sorting,Sorting Algorithms,Merge Sort,Medium,Striver,https://leetcode.com/problems/sort-an-array/,Classic divide & conquer
32,Sorting,Sorting Algorithms,Quick Sort,Medium,Striver,https://www.geeksforgeeks.org/problems/quick-sort/1,
33,Sorting,Sorting Algorithms,Recursive Bubble Sort,Easy,Striver,https://www.geeksforgeeks.org/problems/bubble-sort/1,
34,Sorting,Sorting Algorithms,Recursive Insertion Sort,Easy,Striver,https://www.geeksforgeeks.org/problems/insertion-sort/1,
35,Arrays,Easy,Largest Element in Array,Easy,Striver,https://www.geeksforgeeks.org/problems/largest-element-in-array4009/1,
36,Arrays,Easy,Second Largest Element in Array,Easy,Striver,https://www.geeksforgeeks.org/problems/second-largest3735/1,
37,Arrays,Easy,Check Array Sorted,Easy,Striver,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,
38,Arrays,Easy,Remove Duplicates from Sorted Array,Easy,Striver,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,
39,Arrays,Easy,Left Rotate Array by One,Easy,Striver,https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one/1,
40,Arrays,Easy,Rotate Array by K Places,Medium,Striver,https://leetcode.com/problems/rotate-array/,
41,Arrays,Easy,Move Zeros to End,Easy,Striver,https://leetcode.com/problems/move-zeroes/,
42,Arrays,Easy,Linear Search,Easy,Striver,https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1,
43,Arrays,Easy,Find Union of Two Sorted Arrays,Easy,Striver,https://www.geeksforgeeks.org/problems/union-of-two-sorted-arrays-1587115621/1,
44,Arrays,Easy,Find Intersection of Two Arrays,Easy,Striver,https://leetcode.com/problems/intersection-of-two-arrays-ii/,
45,Arrays,Easy,Find Missing Number in Array,Easy,Striver,https://leetcode.com/problems/missing-number/,
46,Arrays,Easy,Maximum Consecutive Ones,Easy,Striver,https://leetcode.com/problems/max-consecutive-ones/,
47,Arrays,Easy,Find Number Appearing Once,Easy,Striver,https://leetcode.com/problems/single-number/,
48,Arrays,Easy,Longest Subarray with Sum K (Positives),Easy,Striver,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1,
49,Arrays,Medium,Two Sum,Medium,Striver,https://leetcode.com/problems/two-sum/,Classic
50,Arrays,Medium,Sort Colors,Medium,Striver,https://leetcode.com/problems/sort-colors/,Dutch national flag
51,Arrays,Medium,Majority Element,Medium,Striver,https://leetcode.com/problems/majority-element/,Moore voting
52,Arrays,Medium,Kadane's Algorithm - Max Subarray,Medium,Striver,https://leetcode.com/problems/maximum-subarray/,Kadane's
53,Arrays,Medium,Stock Buy and Sell I,Easy,Striver,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
54,Arrays,Medium,Rearrange Array by Sign,Medium,Striver,https://leetcode.com/problems/rearrange-array-elements-by-sign/,
55,Arrays,Medium,Next Permutation,Medium,Striver,https://leetcode.com/problems/next-permutation/,
56,Arrays,Medium,Leaders in an Array,Easy,Striver,https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1,
57,Arrays,Medium,Longest Consecutive Sequence,Medium,Striver,https://leetcode.com/problems/longest-consecutive-sequence/,
58,Arrays,Medium,Set Matrix Zeroes,Medium,Striver,https://leetcode.com/problems/set-matrix-zeroes/,
59,Arrays,Medium,Rotate Image,Medium,Striver,https://leetcode.com/problems/rotate-image/,
60,Arrays,Medium,Spiral Matrix,Medium,Striver,https://leetcode.com/problems/spiral-matrix/,
61,Arrays,Medium,Subarray Sum Equals K,Medium,Striver,https://leetcode.com/problems/subarray-sum-equals-k/,
62,Arrays,Medium,Pascal's Triangle,Easy,Striver,https://leetcode.com/problems/pascals-triangle/,
63,Arrays,Hard,Majority Element II,Medium,Striver,https://leetcode.com/problems/majority-element-ii/,Extended Moore voting
64,Arrays,Hard,3Sum,Medium,Striver,https://leetcode.com/problems/3sum/,
65,Arrays,Hard,4Sum,Medium,Striver,https://leetcode.com/problems/4sum/,
66,Arrays,Hard,Largest Subarray with 0 Sum,Medium,Striver,https://www.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,
67,Arrays,Hard,Count Subarrays with XOR K,Medium,Striver,https://www.geeksforgeeks.org/problems/count-subarray-with-given-xor/1,
68,Arrays,Hard,Merge Overlapping Intervals,Medium,Striver,https://leetcode.com/problems/merge-intervals/,
69,Arrays,Hard,Merge Two Sorted Arrays Without Space,Hard,Striver,https://leetcode.com/problems/merge-sorted-array/,
70,Arrays,Hard,Missing and Repeating Number,Medium,Striver,https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,
71,Arrays,Hard,Count Inversions,Hard,Striver,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,
72,Arrays,Hard,Reverse Pairs,Hard,Striver,https://leetcode.com/problems/reverse-pairs/,
73,Arrays,Hard,Maximum Product Subarray,Medium,Striver,https://leetcode.com/problems/maximum-product-subarray/,
74,Arrays,Added,Trapping Rain Water,Hard,Added-Arrays,https://leetcode.com/problems/trapping-rain-water/,Gap - NeetCode/Babbar
75,Arrays,Added,Container with Most Water,Medium,Added-Arrays,https://leetcode.com/problems/container-with-most-water/,Gap - NeetCode
76,Arrays,Added,Product of Array Except Self,Medium,Added-Arrays,https://leetcode.com/problems/product-of-array-except-self/,Gap - NeetCode
77,Arrays,Added,Jump Game,Medium,Added-Arrays,https://leetcode.com/problems/jump-game/,Gap - NeetCode
78,Arrays,Added,Jump Game II,Medium,Added-Arrays,https://leetcode.com/problems/jump-game-ii/,Gap - NeetCode
79,Arrays,Added,Gas Station,Medium,Added-Arrays,https://leetcode.com/problems/gas-station/,Gap - NeetCode
80,Arrays,Added,Find Duplicate Number,Medium,Added-Arrays,https://leetcode.com/problems/find-the-duplicate-number/,Gap - NeetCode
81,Arrays,2D Arrays,Search a 2D Matrix,Medium,Striver,https://leetcode.com/problems/search-a-2d-matrix/,
82,Arrays,2D Arrays,Search a 2D Matrix II,Medium,Striver,https://leetcode.com/problems/search-a-2d-matrix-ii/,
83,Arrays,2D Arrays,Diagonal Traverse,Medium,Added-Matrix,https://leetcode.com/problems/diagonal-traverse/,Gap - Shradha/Babbar
84,Arrays,2D Arrays,Transpose Matrix,Easy,Added-Matrix,https://leetcode.com/problems/transpose-matrix/,Gap - Shradha
85,Arrays,2D Arrays,Pascal's Triangle II,Easy,Added-Matrix,https://leetcode.com/problems/pascals-triangle-ii/,Gap - Shradha
86,Arrays,2D Arrays,Reshape the Matrix,Easy,Added-Matrix,https://leetcode.com/problems/reshape-the-matrix/,Gap - Shradha
87,Arrays,2D Arrays,Number of Islands,Medium,Added-Matrix,https://leetcode.com/problems/number-of-islands/,Gap - Babbar
88,Arrays,2D Arrays,Surrounded Regions,Medium,Added-Matrix,https://leetcode.com/problems/surrounded-regions/,Gap - Babbar
89,Binary Search,1D Arrays,Binary Search,Easy,Striver,https://leetcode.com/problems/binary-search/,
90,Binary Search,1D Arrays,Implement Lower Bound,Easy,Striver,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1,
91,Binary Search,1D Arrays,Implement Upper Bound,Easy,Striver,https://www.geeksforgeeks.org/problems/ceil-the-floor/1,
92,Binary Search,1D Arrays,Search Insert Position,Easy,Striver,https://leetcode.com/problems/search-insert-position/,
93,Binary Search,1D Arrays,Floor and Ceil in Sorted Array,Easy,Striver,https://www.geeksforgeeks.org/problems/ceil-the-floor/1,
94,Binary Search,1D Arrays,First and Last Occurrence in Sorted Array,Easy,Striver,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,
95,Binary Search,1D Arrays,Count Occurrences in Sorted Array,Easy,Striver,https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1,
96,Binary Search,1D Arrays,Search in Rotated Sorted Array,Medium,Striver,https://leetcode.com/problems/search-in-rotated-sorted-array/,
97,Binary Search,1D Arrays,Search in Rotated Sorted Array II,Medium,Striver,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,
98,Binary Search,1D Arrays,Find Minimum in Rotated Sorted Array,Medium,Striver,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
99,Binary Search,1D Arrays,Find Out How Many Times Array is Rotated,Easy,Striver,https://www.geeksforgeeks.org/problems/rotation4723/1,
100,Binary Search,1D Arrays,Single Element in Sorted Array,Medium,Striver,https://leetcode.com/problems/single-element-in-a-sorted-array/,
101,Binary Search,1D Arrays,Find Peak Element,Medium,Striver,https://leetcode.com/problems/find-peak-element/,
102,Binary Search,Answer Space,Find Square Root,Easy,Striver,https://leetcode.com/problems/sqrtx/,
103,Binary Search,Answer Space,Find Nth Root of M,Medium,Striver,https://www.geeksforgeeks.org/problems/find-nth-root-of-m/0,
104,Binary Search,Answer Space,Koko Eating Bananas,Medium,Striver,https://leetcode.com/problems/koko-eating-bananas/,
105,Binary Search,Answer Space,Minimum Days to Make M Bouquets,Medium,Striver,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,
106,Binary Search,Answer Space,Find Smallest Divisor,Medium,Striver,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,
107,Binary Search,Answer Space,Capacity to Ship Packages in D Days,Medium,Striver,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,
108,Binary Search,Answer Space,Kth Missing Positive Number,Easy,Striver,https://leetcode.com/problems/kth-missing-positive-number/,
109,Binary Search,Answer Space,Aggressive Cows,Medium,Striver,https://www.geeksforgeeks.org/problems/aggressive-cows/1,Classic BS on answer
110,Binary Search,Answer Space,Allocate Books / Book Allocation Problem,Hard,Striver,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,
111,Binary Search,Answer Space,Split Array Largest Sum,Hard,Striver,https://leetcode.com/problems/split-array-largest-sum/,
112,Binary Search,Answer Space,Painter's Partition,Hard,Striver,https://www.geeksforgeeks.org/problems/the-painters-partition-problem1535/1,
113,Binary Search,Answer Space,Minimize Max Distance to Gas Station,Hard,Striver,https://www.geeksforgeeks.org/problems/minimize-max-distance-to-gas-station/1,
114,Binary Search,Answer Space,Median of Two Sorted Arrays,Hard,Striver,https://leetcode.com/problems/median-of-two-sorted-arrays/,
115,Binary Search,Answer Space,Kth Element of Two Sorted Arrays,Hard,Striver,https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1,
116,Binary Search,2D Arrays,Row with Max 1s,Medium,Striver,https://www.geeksforgeeks.org/problems/row-with-max-1s0023/1,
117,Binary Search,2D Arrays,Peak Element in 2D Grid,Hard,Striver,https://leetcode.com/problems/find-a-peak-element-ii/,
118,Binary Search,2D Arrays,Matrix Median,Hard,Striver,https://www.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1,
119,Strings,Easy,Remove Outermost Parentheses,Easy,Striver,https://leetcode.com/problems/remove-outermost-parentheses/,
120,Strings,Easy,Reverse Words in a String,Medium,Striver,https://leetcode.com/problems/reverse-words-in-a-string/,
121,Strings,Easy,Largest Odd Number in String,Easy,Striver,https://leetcode.com/problems/largest-odd-number-in-string/,
122,Strings,Easy,Longest Common Prefix,Easy,Striver,https://leetcode.com/problems/longest-common-prefix/,
123,Strings,Easy,Isomorphic Strings,Easy,Striver,https://leetcode.com/problems/isomorphic-strings/,
124,Strings,Easy,Check Anagram,Easy,Striver,https://leetcode.com/problems/valid-anagram/,
125,Strings,Easy,Count and Say,Medium,Striver,https://leetcode.com/problems/count-and-say/,
126,Strings,Easy,Compare Version Numbers,Medium,Striver,https://leetcode.com/problems/compare-version-numbers/,
127,Strings,Medium,Sort Characters by Frequency,Medium,Striver,https://leetcode.com/problems/sort-characters-by-frequency/,
128,Strings,Medium,Maximum Nesting Depth of Parentheses,Easy,Striver,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,
129,Strings,Medium,Roman to Integer,Easy,Striver,https://leetcode.com/problems/roman-to-integer/,
130,Strings,Medium,Implement Atoi,Medium,Striver,https://leetcode.com/problems/string-to-integer-atoi/,
131,Strings,Medium,Count Number of Substrings,Medium,Striver,https://www.geeksforgeeks.org/problems/count-number-of-substrings4528/1,
132,Strings,Medium,Longest Palindromic Substring,Medium,Striver,https://leetcode.com/problems/longest-palindromic-substring/,
133,Strings,Medium,Sum of Beauty of All Substrings,Medium,Striver,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,
134,Strings,Added,Valid Parentheses,Easy,Added-Strings,https://leetcode.com/problems/valid-parentheses/,Gap - NeetCode
135,Strings,Added,Generate Parentheses,Medium,Added-Strings,https://leetcode.com/problems/generate-parentheses/,Gap - NeetCode
136,Strings,Added,Minimum Window Substring,Hard,Added-Strings,https://leetcode.com/problems/minimum-window-substring/,Gap - NeetCode
137,Strings,Added,Group Anagrams,Medium,Added-Strings,https://leetcode.com/problems/group-anagrams/,Gap - NeetCode
138,Strings,Added,Encode and Decode Strings,Medium,Added-Strings,https://leetcode.com/problems/encode-and-decode-strings/,Gap - NeetCode
139,Strings,Added,Palindromic Substrings,Medium,Added-Strings,https://leetcode.com/problems/palindromic-substrings/,Gap - NeetCode
140,Strings,Advanced,Rabin Karp Algorithm,Hard,Striver,https://leetcode.com/problems/repeated-string-match/,
141,Strings,Advanced,Z-Algorithm,Hard,Striver,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,
142,Strings,Advanced,KMP Algorithm,Hard,Striver,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Pattern matching
143,Strings,Advanced,Minimum Characters to Make String Palindrome,Hard,Striver,https://www.geeksforgeeks.org/problems/minimum-characters-to-be-added-at-front-to-make-string-palindrome/0,
144,Strings,Advanced,Check if Strings are Rotation,Easy,Striver,https://leetcode.com/problems/rotate-string/,
145,Strings,Advanced,Convert String to Shortest Palindrome,Hard,Striver,https://www.geeksforgeeks.org/problems/minimum-characters-to-be-added-at-front-to-make-string-palindrome/0,
146,Strings,Advanced,Longest Prefix Suffix (KMP Failure),Hard,Striver,https://www.geeksforgeeks.org/problems/longest-prefix-suffix2527/1,
147,Strings,Advanced,Count Occurrences of Anagram,Medium,Striver,https://leetcode.com/problems/find-all-anagrams-in-a-string/,
148,Strings,Advanced,Beautiful String / Rearrange String k Distance Apart,Hard,Striver,https://www.geeksforgeeks.org/problems/beautyofstring/1,
149,Strings,Advanced,Sum of All Substrings,Medium,Striver,https://www.geeksforgeeks.org/problems/sum-of-all-substrings-of-a-number/1,
150,Linked List,Single LL,Intro to LL - Create LL,Easy,Striver,https://www.geeksforgeeks.org/problems/introduction-to-linked-list/1,
151,Linked List,Single LL,Insert at Head Tail,Easy,Striver,https://www.geeksforgeeks.org/problems/linked-list-insertion-1587115620/1,
152,Linked List,Single LL,Remove Node from LL,Easy,Striver,https://leetcode.com/problems/remove-linked-list-elements/,
153,Linked List,Single LL,Search in LL,Easy,Striver,https://www.geeksforgeeks.org/problems/search-in-linked-list-1664434326/1,
154,Linked List,Double LL,Intro to DLL,Easy,Striver,https://www.geeksforgeeks.org/problems/introduction-to-doubly-linked-list/1,
155,Linked List,Double LL,Insert/Remove in DLL,Easy,Striver,https://www.geeksforgeeks.org/problems/delete-node-in-doubly-linked-list/1,
156,Linked List,Double LL,Reverse a DLL,Easy,Striver,https://www.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1,
157,Linked List,Medium,Middle of LL,Easy,Striver,https://leetcode.com/problems/middle-of-the-linked-list/,
158,Linked List,Medium,Reverse a LL,Easy,Striver,https://leetcode.com/problems/reverse-linked-list/,
159,Linked List,Medium,Detect Loop in LL,Easy,Striver,https://leetcode.com/problems/linked-list-cycle/,
160,Linked List,Medium,Find Length of Loop in LL,Medium,Striver,https://www.geeksforgeeks.org/problems/find-length-of-loop/1,
161,Linked List,Medium,Check if LL is Palindrome,Medium,Striver,https://leetcode.com/problems/palindrome-linked-list/,
